Tanggal Posting;Nama Tampilan;Username;Teks Tweet;Retweets;Likes;Total Interaksi
12/02/2021;maddy bum;@txtdarimissmei;Keterlaluan bgt jakarta panasnyaaaa. Baru kelar mandi aja gua gerah, ampun dah;0;0;0
12/02/2021;batoe79;@im_batoe;Lama2 gw gerah juga kok org jakarta mau aja d berakin terus,gw anak jakarta g rela diGOBLOKIN 2X OSLO dpt in bny penghargaan internasional macam gub DKI sekarang br dah nyalon;0;0;0
12/02/2021;ovie;@nengnonng;Lunar year hari ini kok ya gerah amat Jakarta Pusat.. kaga ujan2 acan;0;0;0
13/02/2021;Farhan Anshari Arsyi;@farhanarsyi;Gerah bgt jakarta tanpa listrik pan;0;1;1
13/02/2021;Ichika || masih rest;@kashimaxps;Iya panas banget disini ayo kapan² ke jakarta lagi!;0;0;0
14/02/2021;Ashlesha Lajvati.;@kamirahan;Waduh, hujan-hujan gerah begitu ya Meme? Kalau di Pangalengan, Echa nggak tahu Meme. Sebab sekarang lagi di Jakarta hihi.;0;0;0
14/02/2021;E.Lio;@lagiCobaNulis;Jaket aku punya beberapa. Tapi hampir gak pernah aku pakai. Alasanya: panas. Jakarta panas.. hehe gerah klo pake jaket. Jam tangan aksesoris wajib sih. Jadi harus pakai jam tangan kemanapun -end-;0;0;0
15/02/2021;San;@semangrklee;Jakarta, bekasi, surabaya panas?  Ingatlah kawan klo riau lebih panas disini kebanyakan sawit anjrot panas banget sumpah aku yg pernah ke 3 daerah itu merasa panas nya tidak sepanas riau;0;0;0
15/02/2021;taya;@Safringo;Eh kenapa sih Jakarta hari ini panas banget? Kita lagi dapet free trial panas neraka apa gimana sih?;0;0;0
15/02/2021;ꗃ 𝚘𝚌𝚑𝚊 ✮｡ ࣪ rest;@molopoems;Jakarta panas banget di mobil udh pake ac tetep kerasa panasnya;0;0;0
15/02/2021;nareswari;@perekologist;jakarta panas banget bangsat;0;0;0
16/02/2021;Nur Fauziah;@Dagetpau;Kemarin emang jakarta juga panas banget dan mulai ujannya deresnya itu td malam.. Jamnya saya lupa jam brp nah sampe sekarang masih ujan;0;0;0
17/02/2021;bheriy;@bambang07679699;Kalo bgini makin gerah aj dah pr pendengki liatnya, kerja nyata demi jakarta dan bukan cm jargon lwt kata aj, kerja..kerja..kerja tp kerjaannya ngutang melulu;0;0;0
18/02/2021;semeton dewata;@TjokordaRaka3;Selamat pagi dr kota jakarta yg sejuk kagak gerah kagak.semoga hari ini semuanya berjalan sesuai harapan n ada sedikit rejeki;0;0;0
18/02/2021;des;@hrvuox;jakarta gerah;0;0;0
18/02/2021;yaa ~~;@_asyatchu;Eh sumpah di sini panas banget, balik jakarta disambut hujan doong;0;0;0
19/02/2021;Samuel Parsa;@deesenchnted;ㅤ Jezy langsung menarik satu kursi di dekat kipas angin lalu duduk di atasnya. Matahari Jakarta hari ini sedang tidak main-main. Belum apa-apa ia sudah merasa gerah. ( @kerIapmalam ) ㅤ;0;0;0
19/02/2021;이성경;@amyourlullaby;Jakarta pas cuaca panas aja ga bersahabat pas macet, apalagi cuaca hujan. Pen nangis banget udh sejam ga sampe-sampe dari mampang ke kuningan doang;0;0;0
20/02/2021;Evie.Rusliyana;@EvieRusliyana;Jakarta Banjir.... Semoga Cepat Surut dan Cuaca Panas Truz;0;0;0
